PHOTOID, LATITUDE, LONGITUDE, DATETIME
36931738672, 62.131747, 25.669227, 2016:01:01 00:00:00
36931736992, 62.130902, 25.669030, 2016:01:01 00:00:00
36706069140, 62.130902, 25.669030, 2016:01:01 00:00:00
36706066690, 62.130902, 25.669030, 2016:01:01 00:00:00
36913912326, 62.131525, 25.669255, 2016:01:01 00:00:00
36931728692, 62.131680, 25.669300, 2016:01:01 00:00:00
36706060170, 62.131677, 25.669358, 2016:01:01 00:00:00
36289250023, 62.131819, 25.669155, 2016:01:01 00:00:00
36931722022, 62.131577, 25.669127, 2016:01:01 00:00:00
36931720242, 62.131577, 25.669127, 2016:01:01 00:00:00
36960617671, 62.131588, 25.668966, 2016:01:01 00:00:00
37102188245, 62.131588, 25.668966, 2016:01:01 00:00:00
36289240373, 62.131588, 25.668966, 2016:01:01 00:00:00
36289239903, 62.131588, 25.668966, 2016:01:01 00:00:00
37102182715, 62.131588, 25.668966, 2016:01:01 00:00:00
36931709992, 62.131588, 25.668966, 2016:01:01 00:00:00
36960609441, 62.131588, 25.668966, 2016:01:01 00:00:00
36931706512, 62.131558, 25.668997, 2016:01:01 00:00:00
36960606961, 62.131558, 25.668997, 2016:01:01 00:00:00
36913890216, 62.131558, 25.668997, 2016:01:01 00:00:00
37102170005, 62.131638, 25.668944, 2016:01:01 00:00:00
36960604581, 62.131638, 25.668944, 2016:01:01 00:00:00
36960603701, 62.131602, 25.668772, 2016:01:01 00:00:00
36706027750, 62.131602, 25.668772, 2016:01:01 00:00:00
36931690052, 62.131572, 25.668900, 2016:01:01 00:00:00
36931686312, 62.131247, 25.668633, 2016:01:01 00:00:00
36913874996, 62.131352, 25.668438, 2016:01:01 00:00:00
36931680322, 62.131252, 25.668341, 2016:01:01 00:00:00
37102159005, 62.131811, 25.669136, 2016:01:01 00:00:00
36289215773, 62.131586, 25.669125, 2016:01:01 00:00:00
36706012160, 62.131661, 25.669291, 2016:01:01 00:00:00
36706009620, 62.131452, 25.668991, 2016:01:01 00:00:00
37102151565, 62.131447, 25.669022, 2016:01:01 00:00:00
36706004230, 62.131666, 25.669358, 2016:01:01 00:00:00
36931666882, 62.131666, 25.669358, 2016:01:01 00:00:00
36931665002, 62.131666, 25.669358, 2016:01:01 00:00:00
37102142645, 62.131666, 25.669358, 2016:01:01 00:00:00
36266914394, 62.131608, 25.669183, 2016:01:01 00:00:00
36266912824, 62.131608, 25.669183, 2016:01:01 00:00:00
36289199003, 62.131608, 25.669183, 2016:01:01 00:00:00
36705986820, 62.131655, 25.669305, 2016:01:01 00:00:00
36266905754, 62.131655, 25.669305, 2016:01:01 00:00:00
36266903624, 62.131861, 25.669244, 2016:01:01 00:00:00
36913836746, 62.131861, 25.669244, 2016:01:01 00:00:00
36960560381, 62.131730, 25.669358, 2016:01:01 00:00:00
36913828266, 62.131736, 25.669413, 2016:01:01 00:00:00
36266895534, 62.131730, 25.669361, 2016:01:01 00:00:00
36705969060, 62.131861, 25.669233, 2016:01:01 00:00:00
36913821326, 62.131750, 25.669369, 2016:01:01 00:00:00
36266891584, 62.131525, 25.668855, 2016:01:01 00:00:00
36266889644, 62.131497, 25.668694, 2016:01:01 00:00:00
36931645432, 62.131497, 25.668694, 2016:01:01 00:00:00
36266886424, 62.131525, 25.668855, 2016:01:01 00:00:00
36705955270, 62.131525, 25.668855, 2016:01:01 00:00:00
36266882854, 62.131547, 25.668911, 2016:01:01 00:00:00
36266881534, 62.131922, 25.669086, 2016:01:01 00:00:00
36266879974, 62.131650, 25.669308, 2016:01:01 00:00:00
36266877524, 62.131469, 25.668972, 2016:01:01 00:00:00
36931636562, 62.131427, 25.669100, 2016:01:01 00:00:00
36289173293, 62.131650, 25.668958, 2016:01:01 00:00:00
36705940440, 62.131650, 25.668958, 2016:01:01 00:00:00
36705939080, 62.131533, 25.668800, 2016:01:01 00:00:00
36289166313, 62.131577, 25.669038, 2016:01:01 00:00:00
36289164013, 62.131408, 25.669275, 2016:01:01 00:00:00
36960512901, 62.131294, 25.669525, 2016:01:01 00:00:00
36289158793, 62.131766, 25.669363, 2016:01:01 00:00:00
36289155493, 62.131380, 25.669472, 2016:01:01 00:00:00
36960502581, 62.131305, 25.669402, 2016:01:01 00:00:00
36289145923, 62.131305, 25.669402, 2016:01:01 00:00:00
36960494291, 62.131305, 25.669402, 2016:01:01 00:00:00
36705914650, 62.131313, 25.669327, 2016:01:01 00:00:00
36960487781, 62.131408, 25.669275, 2016:01:01 00:00:00
36705906900, 62.131405, 25.669333, 2016:01:01 00:00:00
36960479311, 62.131405, 25.669333, 2016:01:01 00:00:00
36705899360, 62.131488, 25.669036, 2016:01:01 00:00:00
37102046705, 62.131669, 25.669280, 2016:01:01 00:00:00
36913776056, 62.131488, 25.669036, 2016:01:01 00:00:00
36931616622, 62.131563, 25.669000, 2016:01:01 00:00:00
36931614792, 62.131563, 25.669000, 2016:01:01 00:00:00
36931613622, 62.131563, 25.669000, 2016:01:01 00:00:00
37102034285, 62.131747, 25.669350, 2016:01:01 00:00:00
36931610502, 62.131863, 25.669125, 2016:01:01 00:00:00
37102027755, 62.131869, 25.669052, 2016:01:01 00:00:00
36157301066, 61.443333, 24.106819, 2016:01:01 00:00:00
36198385805, 61.498791, 23.764288, 2016:01:01 00:00:00
32855455110, 61.471498, 23.595970, 2016:01:01 00:00:00
32807851460, 62.231315, 25.778388, 2016:01:01 00:00:00
32614103110, 62.266463, 25.902105, 2016:01:01 00:00:00
31905560273, 61.471037, 23.594833, 2016:01:01 00:00:00
32178977212, 61.442645, 23.835096, 2016:01:01 00:00:00
31518535063, 61.442645, 23.835096, 2016:01:01 00:00:00
31952131690, 61.442645, 23.835096, 2016:01:01 00:00:00
32178974982, 61.442645, 23.835096, 2016:01:01 00:00:00
32159769452, 61.497183, 23.750293, 2016:01:01 00:00:00
32141924345, 61.472072, 23.759227, 2016:01:01 00:00:00
31300551714, 61.474627, 23.753125, 2016:01:01 00:00:00
32141913365, 61.474441, 23.752594, 2016:01:01 00:00:00
31766889500, 61.474591, 23.752188, 2016:01:01 00:00:00
32103262476, 61.473730, 23.747977, 2016:01:01 00:00:00
31300525774, 61.473538, 23.747436, 2016:01:01 00:00:00
32103254456, 61.473450, 23.747275, 2016:01:01 00:00:00
32141886455, 61.473347, 23.746227, 2016:01:01 00:00:00
31296450324, 61.505522, 23.630294, 2016:01:01 00:00:00
32098510355, 62.023455, 23.784252, 2016:01:01 00:00:00
32059469956, 62.023455, 23.784252, 2016:01:01 00:00:00
31288185973, 62.023455, 23.784252, 2016:01:01 00:00:00
31257273254, 62.023455, 23.784252, 2016:01:01 00:00:00
31908983532, 61.476947, 24.504863, 2016:01:01 00:00:00
31908981962, 61.476947, 24.504863, 2016:01:01 00:00:00
31246128573, 61.505859, 23.759844, 2016:01:01 00:00:00
32055969935, 61.505993, 23.760359, 2016:01:01 00:00:00
31246118223, 61.505993, 23.760359, 2016:01:01 00:00:00
31681163570, 61.505993, 23.760359, 2016:01:01 00:00:00
31681159880, 61.506069, 23.761260, 2016:01:01 00:00:00
31246108263, 61.506187, 23.764189, 2016:01:01 00:00:00
31908073382, 61.506438, 23.765079, 2016:01:01 00:00:00
31938192031, 61.507410, 23.761121, 2016:01:01 00:00:00
32017020736, 61.507211, 23.759543, 2016:01:01 00:00:00
32017018356, 61.507037, 23.758417, 2016:01:01 00:00:00
31215000164, 61.506469, 23.755896, 2016:01:01 00:00:00
31938167441, 61.506888, 23.757945, 2016:01:01 00:00:00
31214995304, 61.506673, 23.756539, 2016:01:01 00:00:00
31214991604, 61.506673, 23.756539, 2016:01:01 00:00:00
32055895905, 61.506469, 23.755896, 2016:01:01 00:00:00
32016999466, 61.507733, 23.765745, 2016:01:01 00:00:00
31246081093, 61.507733, 23.765745, 2016:01:01 00:00:00
32016987736, 61.506274, 23.766582, 2016:01:01 00:00:00
31938143891, 61.506494, 23.766689, 2016:01:01 00:00:00
32016973636, 61.507610, 23.772118, 2016:01:01 00:00:00
31214965264, 61.504483, 23.774414, 2016:01:01 00:00:00
31214964214, 61.504483, 23.774703, 2016:01:01 00:00:00
32055844305, 61.504616, 23.774961, 2016:01:01 00:00:00
31246054583, 61.504370, 23.775100, 2016:01:01 00:00:00
32055834735, 61.502676, 23.773609, 2016:01:01 00:00:00
32016928356, 61.501217, 23.770626, 2016:01:01 00:00:00
31214952344, 61.500659, 23.770744, 2016:01:01 00:00:00
31907968512, 61.500531, 23.770862, 2016:01:01 00:00:00
31214947884, 61.499684, 23.771823, 2016:01:01 00:00:00
31214944844, 61.499684, 23.771823, 2016:01:01 00:00:00
31246024463, 61.499149, 23.771367, 2016:01:01 00:00:00
32055803685, 61.499676, 23.771141, 2016:01:01 00:00:00
